t_ms,pwm_heater,temp_C
96201,220,95.19
96301,220,95.19
96401,220,95.33
96501,220,95.33
96601,220,95.47
96701,220,95.47
96801,220,95.61
96901,220,95.61
97001,220,95.75
97101,220,95.75
97201,220,95.75
97301,220,95.89
97401,220,95.89
97501,220,96.02
97601,220,96.02
97701,220,96.16
97801,220,96.16
97901,220,96.30
98001,220,96.30
98101,220,96.44
98201,220,96.44
98301,220,96.44
98401,220,96.58
98501,220,96.58
98601,220,96.72
98701,220,96.72
98801,220,96.86
98901,220,96.86
99001,220,97.00
99101,220,97.00
99201,220,97.00
99301,220,97.14
99401,220,97.14
99501,220,97.27
99601,220,97.27
99701,220,97.41
99801,220,97.41
99901,220,97.55
100001,220,97.55
100101,220,97.69
100201,220,97.69
100301,220,97.69
100401,220,97.83
100501,220,97.97
100601,220,97.97
100701,220,98.11
100801,220,98.11
100901,220,98.11
101001,220,98.24
101101,220,98.24
101201,220,98.38
101301,220,98.38
101401,220,98.38
101501,220,98.52
101601,220,98.52
101701,220,98.66
101801,220,98.66
101901,220,98.80
102001,220,98.80
102101,220,98.80
102201,220,98.94
102301,220,98.94
102401,220,99.07
102501,220,99.07
102601,220,99.21
102701,220,99.21
102801,220,99.35
102901,220,99.35
103001,220,99.49
103101,220,99.49
103201,220,99.63
103301,220,99.63
103401,220,99.63
103501,220,99.77
103601,220,99.90
103701,220,99.90
103801,220,99.90
103901,220,100.04
104001,220,100.04
104101,220,100.18
104201,220,100.18
104301,220,100.32
104401,220,100.32
104501,220,100.46
104601,220,100.46
104701,220,100.59
104801,220,100.59
104901,220,100.73
105001,220,100.73
105101,220,100.73
105201,220,100.87
105301,220,100.87
105401,220,101.01
105501,220,101.01
105601,220,101.15
105701,220,101.15
105801,220,101.29
105901,220,101.29
106001,220,101.42
106101,220,101.42
106201,220,101.56
106301,220,101.56
106401,220,101.70
106501,220,101.70
106601,220,101.70
106701,220,101.84
106801,220,101.84
106901,220,101.98
107001,220,101.98
107101,220,102.11
107201,220,102.11
107301,220,102.11
107401,220,102.25
107501,220,102.25
107601,220,102.39
107701,220,102.39
107801,220,102.53
107901,220,102.53
108001,220,102.67
108101,220,102.67
108201,220,102.80
108301,220,102.80
108401,220,102.80
108501,220,102.94
108601,220,102.94
108701,220,103.08
108801,220,103.08
108901,220,103.22
109001,220,103.22
109101,220,103.22
109201,220,103.36
109301,220,103.36
109401,220,103.50
109501,220,103.50
109601,220,103.50
109701,220,103.63
109801,220,103.63
109901,220,103.77
110001,220,103.77
110101,220,103.91
110201,220,103.91
110301,220,104.05
110401,220,104.05
110501,220,104.19
110601,220,104.19
110701,220,104.19
110801,220,104.33
110901,220,104.33
111001,220,104.46
111101,220,104.46
111201,220,104.60
111301,220,104.60
111401,220,104.60
111501,220,104.74
111601,220,104.74
111701,220,104.88
111801,220,104.88
111901,220,104.88
112001,220,105.02
112101,220,105.02
112201,220,105.16
112301,220,105.16
112401,220,105.16
112501,220,105.29
112601,220,105.29
112701,220,105.43
112801,220,105.43
112901,220,105.57
113001,220,105.57
113101,220,105.71
113201,220,105.71
113301,220,105.85
113401,220,105.85
113501,220,105.99
113601,220,105.99
113701,220,105.99
113801,220,106.13
113901,220,106.13
114001,220,106.13
114101,220,106.26
114201,220,106.26
114301,220,106.40
114401,220,106.40
114501,220,106.40
114601,220,106.54
114701,220,106.54
114801,220,106.68
114901,220,106.68
115001,220,106.68
115101,220,106.82
115201,220,106.96
115301,220,106.96
115401,220,106.96
115501,220,107.10
115601,220,107.10
115701,220,107.10
115801,220,107.24
115901,220,107.24
116001,220,107.38
116101,220,107.38
116201,220,107.38
116301,220,107.51
116401,220,107.51
116501,220,107.65
116601,220,107.65
116701,220,107.65
116801,220,107.79
116901,220,107.79
117001,220,107.93
117101,220,107.93
117201,220,107.93
117301,220,108.07
117401,220,108.07
117501,220,108.21
117601,220,108.21
117701,220,108.21
117801,220,108.35
117901,220,108.35
118001,220,108.49
118101,220,108.49
118201,220,108.49
118301,220,108.63
118401,220,108.63
118501,220,108.77
118601,220,108.77
118701,220,108.77
118801,220,108.91
118901,220,108.91
119001,220,109.05
119101,220,109.05
119201,220,109.05
119301,220,109.19
119401,220,109.19
119501,220,109.33
119601,220,109.33
119701,220,109.33
119801,220,109.47
119901,220,109.47
120001,220,109.61
120101,220,109.61
120201,220,109.75
120301,220,109.75
120401,220,109.89
120501,220,109.89
120601,220,109.89
120701,220,110.03
120801,220,110.03
120901,220,110.03
121001,220,110.17
121101,220,110.17
121201,220,110.17
121301,220,110.31
121401,220,110.31
121501,220,110.45
121601,220,110.45
121701,220,110.59
121801,220,110.59
121901,220,110.59
122001,220,110.73
122101,220,110.73
122201,220,110.87
122301,220,110.87
122401,220,111.01
122501,220,111.01
122601,220,111.15
122701,220,111.15
122801,220,111.15
122901,220,111.29
123001,220,111.29
123101,220,111.29
123201,220,111.43
123301,220,111.43
123401,220,111.57
123501,220,111.57
123601,220,111.71
123701,220,111.71
123801,220,111.71
123901,220,111.71
124001,220,111.86
124101,220,111.86
124201,220,112.00
124301,220,112.00
124401,220,112.14
124501,220,112.14
124601,220,112.14
124701,220,112.28
124801,220,112.28
124901,220,112.28
125001,220,112.42
125101,220,112.42
125201,220,112.56
125301,220,112.56
125401,220,112.70
125501,220,112.70
125601,220,112.70
125701,220,112.85
125801,220,112.85
125901,220,112.99
126001,220,112.99
126101,220,112.99
126201,220,112.99
126301,220,113.13
126401,220,113.13
126501,220,113.27
126601,220,113.27
126701,220,113.27
126801,220,113.41
126901,220,113.41
127001,220,113.56
127101,220,113.56
127201,220,113.70
127301,220,113.70
127401,220,113.84
127501,220,113.84
127601,220,113.84
127701,220,113.98
127801,220,113.98
127901,220,114.12
128001,220,114.12
128101,220,114.12
128201,220,114.27
128301,220,114.27
128401,220,114.27
128501,220,114.41
128601,220,114.41
128701,220,114.41
128801,220,114.55
128901,220,114.55
129001,220,114.55
129101,220,114.70
129201,220,114.70
129301,220,114.84
129401,220,114.84
129501,220,114.98
129601,220,114.98
129701,220,114.98
129801,220,115.13
129901,220,115.13
130001,220,115.13
130101,220,115.27
130201,220,115.27
130301,220,115.41
130401,220,115.41
130501,220,115.41
130601,220,115.56
130701,220,115.56
130801,220,115.56
130901,220,115.70
131001,220,115.70
131101,220,115.70
131201,220,115.84
131301,220,115.84
131401,220,115.99
131501,220,115.99
131601,220,115.99
131701,220,116.13
131801,220,116.13
131901,220,116.13
132001,220,116.28
132101,220,116.28
132201,220,116.42
132301,220,116.42
132401,220,116.56
132501,220,116.56
132601,220,116.56
132701,220,116.71
132801,220,116.71
132901,220,116.71
133001,220,116.71
133101,220,116.85
133201,220,116.85
133301,220,117.00
133401,220,117.00
133501,220,117.00
133601,220,117.14
133701,220,117.14
133801,220,117.14
133901,220,117.29
134001,220,117.29
134101,220,117.43
134201,220,117.43
134301,220,117.43
134401,220,117.58
134501,220,117.58
134601,220,117.72
134701,220,117.72
134801,220,117.72
134901,220,117.72
135001,220,117.87
135101,220,117.87
135201,220,118.01
135301,220,118.01
135401,220,118.01
135501,220,118.16
135601,220,118.16
135701,220,118.31
135801,220,118.31
135901,220,118.31
136001,220,118.31
136101,220,118.45
136201,220,118.45
136301,220,118.45
136401,220,118.60
136501,220,118.60
136601,220,118.60
136701,220,118.75
136801,220,118.75
136901,220,118.75
137001,220,118.89
137101,220,118.89
137201,220,119.04
137301,220,119.04
137401,220,119.04
137501,220,119.19
137601,220,119.19
137701,220,119.19
137801,220,119.33
137901,220,119.33
138001,220,119.33
138101,220,119.48
138201,220,119.48
138301,220,119.48
138401,220,119.63
138501,220,119.63
138601,220,119.63
138701,220,119.77
138801,220,119.77
138901,220,119.77
139001,220,119.92
139101,220,119.92
139201,220,119.92
139301,220,120.07
139401,220,120.07
